
Meniu_omnivor, Ciorba de Peste, File de somon, Inghetata de vanilie
Meniu_vegetarian, Supa crema de ciuperci, Ciupercute cu cascsval, Inghetata de vanilie
Meniu flexitarian, Ciorba de Peste, File de somon, Inghetata de vanilie
Meniu_omnivor, Ciorba de vacuta, Ceafa de porc la gratar, Cozonac
Meniu_vegetarian, Supa de rosii, Dovlecel pane, Cozonac
Meniu flexitarian, Supa de rosii, Dovlecel pane, Cozonac
Meniu_omnivor, Supa crema de morcov, Cod, Cozonac
Meniu_vegetarian, Supa de rosii, Dovlecel pane, Cozonac
Meniu flexitarian, Supa de rosii, Dovlecel pane, Cozonac
Meniu_omnivor, Ciorba de burta, Paste Carbonara, Brownie cu zmeura
Meniu_vegetarian, Supa de dovlecel, Salata, Brownie cu zmeura
Meniu flexitarian, Supa de dovlecel, Salata, Brownie cu zmeura
